booking_id,booking_date,checkin_date,room_type,num_guests,lead_time,canceled,no_show
BKG11425,2024-12-25,2022-01-02,Deluxe,3,-1088,0,0
BKG16041,2024-12-25,2022-01-02,Standard,3,-1088,0,0
BKG15214,2024-12-27,2022-01-02,Suite,2,-1090,0,0
BKG17609,2024-12-13,2022-01-02,Standard,2,-1076,0,0
BKG19566,2024-12-23,2022-01-02,Deluxe,2,-1086,0,0
BKG16753,2024-12-12,2022-01-02,Suite,2,-1075,0,1
BKG14492,2024-12-27,2022-01-02,Standard,2,-1090,0,0
BKG14479,2024-12-20,2022-01-02,Deluxe,2,-1083,0,0
BKG19773,2024-12-29,2022-01-02,Deluxe,3,-1092,1,0
BKG14311,2024-12-19,2022-01-02,Suite,2,-1082,0,0
BKG11773,2024-12-25,2022-01-02,Deluxe,2,-1088,0,0
BKG13876,2024-12-21,2022-01-02,Suite,3,-1084,0,0
BKG18615,2024-12-07,2022-01-02,Standard,2,-1070,0,0
BKG14512,2024-12-06,2022-01-02,Suite,3,-1069,1,0
BKG12943,2024-12-20,2022-01-02,Suite,1,-1083,0,0
BKG13307,2024-12-04,2022-01-02,Suite,2,-1067,1,0
BKG16923,2024-12-31,2022-01-02,Suite,1,-1094,0,0
BKG12261,2024-12-21,2022-01-02,Suite,2,-1084,0,0
BKG11354,2024-12-11,2022-01-02,Suite,2,-1074,0,0
BKG12796,2024-12-26,2022-01-02,Suite,2,-1089,0,0
BKG14716,2024-12-11,2022-01-02,Standard,2,-1074,0,0
BKG18479,2024-12-22,2022-01-02,Standard,3,-1085,0,0
BKG13137,2024-12-17,2022-01-02,Suite,3,-1080,0,0
BKG14752,2024-12-24,2022-01-02,Suite,1,-1087,0,0
BKG14837,2024-12-30,2022-01-02,Suite,2,-1093,0,0
BKG13151,2024-12-10,2022-01-02,Deluxe,2,-1073,0,0
BKG12721,2024-12-18,2022-01-02,Suite,2,-1081,0,0
BKG15287,2024-12-28,2022-01-02,Standard,1,-1091,0,0
BKG12767,2024-12-24,2022-01-02,Deluxe,1,-1087,1,0
BKG11328,2024-12-08,2022-01-02,Standard,3,-1071,0,0
BKG11873,2024-12-17,2022-01-02,Suite,1,-1080,0,0
BKG17025,2024-12-27,2022-01-02,Deluxe,3,-1090,0,0
BKG15719,2024-12-07,2022-01-02,Deluxe,2,-1070,0,1
BKG17050,2024-12-14,2022-01-02,Deluxe,3,-1077,0,1
BKG16019,2024-12-19,2022-01-02,Suite,2,-1082,0,0
BKG18586,2024-12-21,2022-01-02,Suite,2,-1084,0,0
BKG12646,2024-12-13,2022-01-02,Standard,2,-1076,0,0
BKG17162,2024-12-17,2022-01-02,Standard,2,-1080,1,0
BKG13132,2024-12-23,2022-01-02,Deluxe,3,-1086,0,0
BKG12103,2024-12-26,2022-01-02,Standard,3,-1089,0,0
BKG13139,2024-12-06,2022-01-02,Deluxe,2,-1069,1,0
BKG18161,2024-12-09,2022-01-02,Deluxe,2,-1072,0,0
BKG16828,2024-12-15,2022-01-02,Standard,2,-1078,0,0
BKG11362,2024-12-12,2022-01-02,Deluxe,1,-1075,0,0
BKG13999,2024-12-22,2022-01-02,Deluxe,3,-1085,0,0
BKG12870,2024-12-19,2022-01-02,Suite,2,-1082,1,0
BKG19950,2024-12-26,2022-01-02,Suite,3,-1089,0,0
BKG14405,2024-12-09,2022-01-02,Deluxe,2,-1072,0,0
BKG18438,2024-12-28,2022-01-02,Suite,3,-1091,1,0
BKG14784,2024-12-11,2022-01-02,Deluxe,2,-1074,0,0
BKG15134,2024-12-09,2022-01-02,Deluxe,2,-1072,1,0
BKG23141,2024-12-26,2022-01-03,Deluxe,2,-1088,0,0
BKG27794,2024-12-07,2022-01-03,Deluxe,1,-1069,0,0
BKG21027,2024-12-26,2022-01-03,Deluxe,1,-1088,0,1
BKG29856,2024-12-23,2022-01-03,Suite,2,-1085,0,0
BKG26939,2024-12-17,2022-01-03,Deluxe,2,-1079,0,0
BKG28904,2024-12-23,2022-01-03,Standard,1,-1085,0,0
BKG24161,2024-12-20,2022-01-03,Deluxe,2,-1082,0,1
BKG24390,2024-12-09,2022-01-03,Deluxe,2,-1071,0,0
BKG22598,2024-12-25,2022-01-03,Suite,3,-1087,0,0
BKG28381,2024-12-08,2022-01-03,Deluxe,2,-1070,0,0
BKG29159,2024-12-21,2022-01-03,Standard,3,-1083,0,0
BKG28894,2024-12-22,2022-01-03,Suite,1,-1084,0,1
BKG26461,2024-12-29,2022-01-03,Suite,3,-1091,0,0
BKG22017,2024-12-25,2022-01-03,Suite,3,-1087,0,0
BKG23299,2024-12-31,2022-01-03,Deluxe,1,-1093,0,0
BKG28397,2024-12-11,2022-01-03,Standard,3,-1073,1,0
BKG27677,2024-12-19,2022-01-03,Suite,1,-1081,0,0
BKG24501,2024-12-10,2022-01-03,Deluxe,2,-1072,0,0
BKG28402,2024-12-27,2022-01-03,Suite,1,-1089,0,0
BKG23554,2022-01-02,2022-01-03,Standard,2,1,1,0
BKG26731,2024-12-12,2022-01-03,Suite,1,-1074,1,0
BKG25538,2024-12-20,2022-01-03,Deluxe,3,-1082,0,0
BKG25979,2024-12-19,2022-01-03,Suite,2,-1081,0,0
BKG26315,2024-12-15,2022-01-03,Suite,2,-1077,1,0
BKG29616,2024-12-26,2022-01-03,Standard,1,-1088,0,0
BKG23243,2024-12-17,2022-01-03,Deluxe,1,-1079,0,0
BKG28117,2024-12-06,2022-01-03,Standard,2,-1068,1,0
BKG29113,2024-12-18,2022-01-03,Suite,2,-1080,0,0
BKG26236,2022-01-02,2022-01-03,Suite,3,1,0,0
BKG21166,2024-12-05,2022-01-03,Standard,1,-1067,1,0
BKG23608,2024-12-22,2022-01-03,Deluxe,2,-1084,0,0
BKG28358,2024-12-05,2022-01-03,Suite,2,-1067,0,0
BKG26594,2024-12-22,2022-01-03,Standard,1,-1084,0,0
BKG24798,2024-12-10,2022-01-03,Suite,1,-1072,0,0
BKG22489,2024-12-18,2022-01-03,Suite,1,-1080,0,0
BKG24481,2024-12-07,2022-01-03,Standard,2,-1069,0,0
BKG23002,2024-12-14,2022-01-03,Deluxe,1,-1076,0,0
BKG26083,2024-12-06,2022-01-03,Standard,3,-1068,1,0
BKG26129,2024-12-26,2022-01-03,Suite,3,-1088,0,0
BKG32919,2024-12-06,2022-01-04,Standard,2,-1067,0,0
BKG36808,2024-12-29,2022-01-04,Suite,1,-1090,1,0
BKG35472,2024-12-08,2022-01-04,Suite,3,-1069,0,0
BKG36986,2024-12-25,2022-01-04,Suite,1,-1086,0,0
BKG39761,2024-12-08,2022-01-04,Deluxe,3,-1069,0,0
BKG37436,2024-12-12,2022-01-04,Standard,2,-1073,0,0
BKG34477,2024-12-08,2022-01-04,Deluxe,2,-1069,0,0
BKG33573,2024-12-24,2022-01-04,Standard,1,-1085,0,0
BKG32736,2024-12-31,2022-01-04,Deluxe,1,-1092,0,0
BKG36055,2024-12-22,2022-01-04,Standard,1,-1083,0,0
BKG31024,2024-12-17,2022-01-04,Suite,2,-1078,0,0
BKG31544,2024-12-19,2022-01-04,Suite,3,-1080,0,0
BKG32177,2024-12-14,2022-01-04,Deluxe,3,-1075,0,0
BKG38412,2024-12-08,2022-01-04,Standard,2,-1069,1,0
BKG34897,2024-12-25,2022-01-04,Suite,1,-1086,0,0
BKG39874,2024-12-26,2022-01-04,Deluxe,2,-1087,0,0
BKG31777,2024-12-24,2022-01-04,Suite,2,-1085,0,1
BKG38607,2024-12-23,2022-01-04,Deluxe,2,-1084,0,0
BKG31512,2022-01-02,2022-01-04,Deluxe,3,2,0,0
BKG38531,2024-12-16,2022-01-04,Standard,2,-1077,1,0
BKG35305,2022-01-03,2022-01-04,Suite,3,1,0,0
BKG35088,2024-12-24,2022-01-04,Suite,2,-1085,1,0
BKG36398,2024-12-17,2022-01-04,Deluxe,1,-1078,0,0
BKG38780,2024-12-21,2022-01-04,Deluxe,1,-1082,0,0
BKG35409,2022-01-03,2022-01-04,Suite,2,1,0,0
BKG36561,2024-12-09,2022-01-04,Deluxe,1,-1070,0,0
BKG33872,2024-12-09,2022-01-04,Suite,2,-1070,0,0
BKG36289,2024-12-19,2022-01-04,Standard,2,-1080,0,0
BKG37544,2024-12-10,2022-01-04,Suite,1,-1071,0,0
BKG36424,2024-12-30,2022-01-04,Standard,1,-1091,0,0
BKG37377,2024-12-22,2022-01-04,Suite,1,-1083,0,0
BKG31974,2024-12-25,2022-01-04,Standard,1,-1086,0,0
BKG31020,2024-12-15,2022-01-04,Suite,2,-1076,0,0
BKG33211,2022-01-01,2022-01-04,Suite,2,3,0,0
BKG35749,2024-12-25,2022-01-04,Suite,3,-1086,0,0
BKG33517,2024-12-31,2022-01-04,Suite,2,-1092,0,0
BKG38191,2024-12-13,2022-01-04,Suite,2,-1074,0,0
BKG38120,2024-12-18,2022-01-04,Suite,2,-1079,0,0
BKG36877,2024-12-15,2022-01-04,Suite,3,-1076,0,0
BKG37856,2024-12-10,2022-01-04,Suite,1,-1071,1,0
BKG39409,2024-12-24,2022-01-04,Deluxe,2,-1085,1,0
BKG37788,2024-12-13,2022-01-04,Suite,3,-1074,1,0
BKG34954,2024-12-16,2022-01-04,Standard,3,-1077,0,0
BKG38706,2024-12-25,2022-01-04,Standard,1,-1086,1,0
BKG35707,2024-12-21,2022-01-04,Standard,3,-1082,0,0
BKG32702,2024-12-06,2022-01-04,Standard,2,-1067,0,0
BKG37973,2024-12-21,2022-01-04,Suite,3,-1082,1,0
BKG35641,2022-01-01,2022-01-04,Standard,1,3,0,0
BKG31785,2024-12-13,2022-01-04,Standard,3,-1074,1,0
BKG37519,2024-12-16,2022-01-04,Deluxe,1,-1077,1,0
BKG36579,2024-12-18,2022-01-04,Deluxe,2,-1079,1,0
BKG37677,2024-12-11,2022-01-04,Standard,1,-1072,0,0
BKG36795,2024-12-07,2022-01-04,Suite,2,-1068,0,1
BKG45872,2024-12-13,2022-01-05,Suite,1,-1073,0,0
BKG42090,2024-12-22,2022-01-05,Suite,2,-1082,0,0
BKG46842,2024-12-24,2022-01-05,Deluxe,1,-1084,0,0
BKG49199,2024-12-21,2022-01-05,Standard,3,-1081,0,1
BKG43988,2024-12-28,2022-01-05,Suite,1,-1088,0,0
BKG45215,2024-12-12,2022-01-05,Suite,1,-1072,0,0
BKG47371,2022-01-02,2022-01-05,Standard,2,3,0,0
BKG46495,2022-01-02,2022-01-05,Standard,2,3,0,0
BKG49549,2024-12-07,2022-01-05,Suite,2,-1067,0,0
BKG49286,2024-12-09,2022-01-05,Suite,3,-1069,0,0
BKG42668,2024-12-18,2022-01-05,Suite,3,-1078,0,0
BKG47376,2024-12-31,2022-01-05,Deluxe,1,-1091,0,0
BKG45274,2024-12-24,2022-01-05,Standard,1,-1084,0,0
BKG45402,2024-12-09,2022-01-05,Suite,3,-1069,0,0
BKG45092,2022-01-01,2022-01-05,Standard,2,4,0,0
BKG42158,2024-12-29,2022-01-05,Suite,2,-1089,0,0
BKG49368,2024-12-09,2022-01-05,Deluxe,1,-1069,0,0
BKG49117,2024-12-29,2022-01-05,Standard,3,-1089,1,0
BKG49947,2024-12-10,2022-01-05,Standard,1,-1070,0,0
BKG48407,2024-12-26,2022-01-05,Standard,3,-1086,0,0
BKG44706,2024-12-28,2022-01-05,Standard,1,-1088,0,0
BKG46733,2024-12-31,2022-01-05,Deluxe,1,-1091,0,0
BKG43241,2024-12-30,2022-01-05,Deluxe,2,-1090,0,0
BKG43730,2024-12-26,2022-01-05,Suite,1,-1086,0,0
BKG49651,2024-12-09,2022-01-05,Suite,2,-1069,0,0
BKG49847,2024-12-13,2022-01-05,Standard,3,-1073,0,0
BKG49292,2024-12-23,2022-01-05,Standard,1,-1083,0,0
BKG43097,2024-12-26,2022-01-05,Standard,3,-1086,0,0
BKG47189,2024-12-25,2022-01-05,Deluxe,2,-1085,1,0
BKG43134,2024-12-13,2022-01-05,Suite,1,-1073,0,0
BKG43092,2024-12-08,2022-01-05,Deluxe,2,-1068,0,0
BKG42131,2024-12-23,2022-01-05,Suite,3,-1083,0,0
BKG43164,2024-12-08,2022-01-05,Deluxe,2,-1068,0,0
BKG44733,2024-12-09,2022-01-05,Deluxe,2,-1069,1,0
BKG45803,2024-12-22,2022-01-05,Deluxe,1,-1082,0,0
BKG42938,2024-12-18,2022-01-05,Suite,1,-1078,1,0
BKG42663,2024-12-22,2022-01-05,Suite,1,-1082,0,0
BKG48289,2024-12-25,2022-01-05,Standard,2,-1085,0,0
BKG48147,2022-01-03,2022-01-05,Suite,2,2,0,0
BKG47524,2024-12-10,2022-01-05,Suite,3,-1070,1,0
BKG49940,2024-12-17,2022-01-05,Deluxe,3,-1077,0,0
BKG49877,2024-12-24,2022-01-05,Deluxe,2,-1084,0,0
BKG47686,2024-12-12,2022-01-05,Deluxe,1,-1072,0,0
BKG44616,2024-12-08,2022-01-05,Deluxe,1,-1068,0,0
BKG43903,2024-12-17,2022-01-05,Standard,3,-1077,0,0
BKG46513,2024-12-17,2022-01-05,Standard,3,-1077,0,0
BKG41411,2024-12-20,2022-01-05,Standard,1,-1080,1,0
BKG46437,2024-12-20,2022-01-05,Suite,2,-1080,0,0
BKG46843,2024-12-27,2022-01-05,Deluxe,3,-1087,0,0
BKG46187,2024-12-12,2022-01-05,Standard,1,-1072,0,0
BKG46712,2024-12-29,2022-01-05,Standard,3,-1089,0,0
BKG47225,2024-12-09,2022-01-05,Standard,3,-1069,1,0
BKG45331,2024-12-23,2022-01-05,Deluxe,1,-1083,0,0
BKG42344,2024-12-25,2022-01-05,Suite,2,-1085,0,0
BKG46740,2024-12-10,2022-01-05,Deluxe,2,-1070,0,0
BKG46513,2024-12-12,2022-01-05,Suite,2,-1072,1,0
BKG41990,2024-12-29,2022-01-05,Suite,2,-1089,0,0
BKG47046,2024-12-18,2022-01-05,Standard,2,-1078,0,0
BKG44312,2022-01-04,2022-01-05,Suite,2,1,0,0
BKG48471,2024-12-10,2022-01-05,Standard,1,-1070,0,0
BKG53336,2024-12-22,2022-01-06,Standard,2,-1081,0,0
BKG52743,2024-12-19,2022-01-06,Deluxe,3,-1078,0,0
BKG58008,2024-12-18,2022-01-06,Deluxe,2,-1077,0,0
BKG59998,2024-12-16,2022-01-06,Suite,3,-1075,1,0
BKG59969,2024-12-19,2022-01-06,Deluxe,2,-1078,0,0
BKG59213,2024-12-15,2022-01-06,Suite,3,-1074,0,0
BKG53904,2024-12-18,2022-01-06,Suite,1,-1077,0,0
BKG59259,2024-12-30,2022-01-06,Suite,3,-1089,0,0
BKG52300,2024-12-27,2022-01-06,Suite,3,-1086,0,1
BKG51516,2024-12-27,2022-01-06,Standard,2,-1086,0,0
BKG53034,2024-12-12,2022-01-06,Standard,1,-1071,0,0
BKG53047,2022-01-05,2022-01-06,Suite,2,1,0,0
BKG55378,2024-12-30,2022-01-06,Standard,1,-1089,0,0
BKG52537,2024-12-29,2022-01-06,Deluxe,2,-1088,0,0
BKG55088,2024-12-09,2022-01-06,Deluxe,2,-1068,0,0
BKG59469,2024-12-25,2022-01-06,Suite,3,-1084,0,0
BKG53913,2024-12-13,2022-01-06,Standard,1,-1072,0,0
BKG54837,2024-12-31,2022-01-06,Standard,1,-1090,0,0
BKG59623,2022-01-01,2022-01-06,Deluxe,1,5,0,0
BKG52828,2024-12-19,2022-01-06,Suite,2,-1078,0,0
BKG54950,2024-12-13,2022-01-06,Suite,2,-1072,0,0
BKG57020,2022-01-02,2022-01-06,Deluxe,1,4,0,0
BKG57795,2024-12-22,2022-01-06,Deluxe,1,-1081,0,0
BKG54095,2024-12-23,2022-01-06,Standard,3,-1082,0,0
BKG59051,2024-12-21,2022-01-06,Standard,3,-1080,0,0
BKG52388,2024-12-11,2022-01-06,Standard,1,-1070,0,0
BKG56936,2024-12-20,2022-01-06,Suite,2,-1079,0,0
BKG58194,2024-12-10,2022-01-06,Standard,3,-1069,0,0
BKG57866,2024-12-17,2022-01-06,Standard,3,-1076,0,0
BKG58030,2024-12-30,2022-01-06,Standard,1,-1089,0,0
BKG53970,2024-12-11,2022-01-06,Suite,2,-1070,1,0
BKG55156,2024-12-28,2022-01-06,Deluxe,1,-1087,0,1
BKG56159,2024-12-19,2022-01-06,Suite,3,-1078,1,0
BKG54550,2024-12-08,2022-01-06,Standard,1,-1067,1,0
BKG57543,2024-12-11,2022-01-06,Standard,3,-1070,0,0
BKG58061,2024-12-30,2022-01-06,Deluxe,1,-1089,1,0
BKG56332,2024-12-29,2022-01-06,Standard,3,-1088,0,0
BKG52520,2024-12-08,2022-01-06,Deluxe,2,-1067,1,0
BKG57170,2024-12-30,2022-01-06,Deluxe,1,-1089,0,0
BKG59438,2024-12-25,2022-01-06,Suite,1,-1084,0,0
BKG53635,2024-12-24,2022-01-06,Deluxe,1,-1083,0,0
BKG52782,2024-12-30,2022-01-06,Standard,2,-1089,0,0
BKG58383,2024-12-24,2022-01-06,Standard,3,-1083,0,0
BKG58292,2024-12-30,2022-01-06,Deluxe,3,-1089,0,0
BKG51449,2024-12-25,2022-01-06,Standard,2,-1084,1,0
BKG57833,2024-12-25,2022-01-06,Suite,1,-1084,0,0
BKG53508,2024-12-30,2022-01-06,Suite,1,-1089,0,1
BKG56945,2024-12-09,2022-01-06,Suite,3,-1068,0,0
BKG54140,2022-01-05,2022-01-06,Standard,2,1,0,0
BKG51541,2022-01-01,2022-01-06,Deluxe,3,5,1,0
BKG52690,2024-12-10,2022-01-06,Suite,2,-1069,0,1
BKG54477,2024-12-18,2022-01-06,Suite,3,-1077,1,0
BKG53159,2024-12-20,2022-01-06,Standard,2,-1079,0,0
BKG53987,2024-12-30,2022-01-06,Suite,2,-1089,0,0
BKG53964,2024-12-31,2022-01-06,Deluxe,2,-1090,0,0
BKG56283,2022-01-01,2022-01-06,Standard,2,5,0,0
BKG58961,2024-12-23,2022-01-06,Suite,1,-1082,1,0
BKG52154,2024-12-24,2022-01-06,Standard,3,-1083,1,0
BKG51903,2024-12-11,2022-01-06,Standard,2,-1070,0,1
BKG52515,2024-12-13,2022-01-06,Standard,2,-1072,0,0
BKG58815,2022-01-02,2022-01-06,Deluxe,1,4,0,0
BKG54238,2024-12-17,2022-01-06,Suite,1,-1076,0,0
BKG52486,2024-12-31,2022-01-06,Deluxe,2,-1090,0,0
BKG53497,2024-12-12,2022-01-06,Deluxe,1,-1071,0,0
BKG59314,2024-12-10,2022-01-06,Standard,1,-1069,0,0
BKG51004,2024-12-16,2022-01-06,Deluxe,1,-1075,0,0
BKG58877,2024-12-18,2022-01-06,Deluxe,2,-1077,0,0
BKG54806,2024-12-18,2022-01-06,Deluxe,3,-1077,0,1
BKG51838,2024-12-16,2022-01-06,Deluxe,3,-1075,0,0
BKG53352,2022-01-02,2022-01-06,Suite,1,4,0,0
BKG58387,2024-12-30,2022-01-06,Suite,2,-1089,0,0
BKG59130,2024-12-20,2022-01-06,Deluxe,3,-1079,0,0
BKG51547,2024-12-31,2022-01-06,Suite,3,-1090,1,0
BKG56900,2024-12-31,2022-01-06,Standard,2,-1090,0,1
BKG58761,2024-12-25,2022-01-06,Suite,3,-1084,0,0
BKG55596,2024-12-26,2022-01-06,Suite,2,-1085,0,0
BKG53383,2024-12-18,2022-01-06,Standard,3,-1077,1,0
BKG53589,2024-12-25,2022-01-06,Deluxe,2,-1084,0,0
BKG55489,2024-12-31,2022-01-06,Deluxe,1,-1090,0,0
BKG53140,2022-01-02,2022-01-06,Deluxe,3,4,0,0
BKG51775,2024-12-13,2022-01-06,Deluxe,3,-1072,0,0
BKG57519,2024-12-28,2022-01-06,Standard,3,-1087,1,0
BKG55284,2024-12-23,2022-01-06,Standard,2,-1082,0,0
BKG52051,2024-12-10,2022-01-06,Deluxe,1,-1069,1,0
BKG52445,2024-12-10,2022-01-06,Suite,1,-1069,1,0
BKG54896,2024-12-16,2022-01-06,Deluxe,1,-1075,0,1
BKG57571,2024-12-10,2022-01-06,Deluxe,3,-1069,0,0
BKG59472,2024-12-23,2022-01-06,Deluxe,3,-1082,0,0
BKG52192,2022-01-02,2022-01-06,Suite,2,4,0,1
BKG57590,2022-01-02,2022-01-06,Deluxe,2,4,0,0
BKG54671,2024-12-11,2022-01-06,Standard,1,-1070,0,0
BKG59938,2024-12-19,2022-01-06,Standard,2,-1078,0,0
BKG56721,2022-01-02,2022-01-06,Deluxe,2,4,0,0
BKG57734,2024-12-11,2022-01-06,Standard,1,-1070,0,0
BKG55229,2022-01-02,2022-01-06,Suite,1,4,1,0
BKG58136,2024-12-09,2022-01-06,Deluxe,2,-1068,0,0
BKG58019,2024-12-26,2022-01-06,Suite,1,-1085,1,0
BKG51965,2024-12-11,2022-01-06,Standard,2,-1070,0,0
BKG53460,2024-12-21,2022-01-06,Deluxe,1,-1080,0,0
BKG56755,2024-12-14,2022-01-06,Standard,1,-1073,0,0
BKG54941,2024-12-18,2022-01-06,Standard,1,-1077,0,0
BKG58098,2024-12-14,2022-01-06,Suite,2,-1073,0,0
BKG58892,2024-12-30,2022-01-06,Deluxe,3,-1089,0,0
BKG58038,2022-01-01,2022-01-06,Suite,2,5,0,0
BKG55983,2024-12-31,2022-01-06,Suite,3,-1090,0,0
BKG56597,2024-12-22,2022-01-06,Suite,1,-1081,0,0
BKG51623,2024-12-12,2022-01-06,Standard,2,-1071,1,0
BKG58516,2024-12-30,2022-01-06,Standard,3,-1089,0,0
BKG54741,2024-12-25,2022-01-06,Suite,2,-1084,0,0
BKG52401,2024-12-18,2022-01-06,Standard,3,-1077,0,0
BKG55535,2024-12-14,2022-01-06,Deluxe,2,-1073,0,0
BKG61973,2022-01-06,2022-01-07,Suite,1,1,0,0
BKG68666,2024-12-09,2022-01-07,Deluxe,3,-1067,0,0
BKG64085,2024-12-23,2022-01-07,Suite,3,-1081,0,0
BKG64427,2024-12-28,2022-01-07,Deluxe,2,-1086,0,0
BKG62958,2024-12-14,2022-01-07,Suite,1,-1072,0,0
BKG62767,2024-12-13,2022-01-07,Deluxe,2,-1071,0,0
BKG67138,2024-12-24,2022-01-07,Standard,3,-1082,0,0
BKG68678,2024-12-16,2022-01-07,Deluxe,2,-1074,0,0
BKG65522,2024-12-26,2022-01-07,Suite,1,-1084,0,0
BKG68423,2022-01-04,2022-01-07,Deluxe,2,3,0,0
BKG61044,2024-12-12,2022-01-07,Suite,1,-1070,0,0
BKG66808,2024-12-22,2022-01-07,Deluxe,3,-1080,1,0
BKG61839,2022-01-05,2022-01-07,Suite,1,2,0,0
BKG69778,2024-12-28,2022-01-07,Standard,2,-1086,1,0
BKG62473,2024-12-29,2022-01-07,Standard,1,-1087,1,0
BKG64427,2024-12-10,2022-01-07,Standard,2,-1068,0,0
BKG67652,2022-01-02,2022-01-07,Deluxe,1,5,0,0
BKG61827,2024-12-12,2022-01-07,Deluxe,3,-1070,0,0
BKG61624,2024-12-30,2022-01-07,Deluxe,1,-1088,0,0
BKG67340,2022-01-01,2022-01-07,Standard,2,6,0,0
BKG66141,2024-12-09,2022-01-07,Standard,2,-1067,0,0
BKG62482,2024-12-14,2022-01-07,Deluxe,3,-1072,1,0
BKG68923,2024-12-27,2022-01-07,Deluxe,1,-1085,1,0
BKG62617,2024-12-31,2022-01-07,Deluxe,1,-1089,0,0
BKG66522,2024-12-31,2022-01-07,Standard,1,-1089,1,0
BKG63306,2024-12-21,2022-01-07,Deluxe,1,-1079,0,0
BKG63812,2024-12-13,2022-01-07,Standard,3,-1071,0,0
BKG68898,2022-01-06,2022-01-07,Suite,3,1,0,0
BKG67067,2022-01-04,2022-01-07,Deluxe,3,3,0,0
BKG66917,2024-12-27,2022-01-07,Suite,1,-1085,0,0
BKG62412,2024-12-24,2022-01-07,Standard,2,-1082,0,0
BKG63107,2022-01-02,2022-01-07,Standard,3,5,1,0
BKG61464,2024-12-14,2022-01-07,Deluxe,2,-1072,0,0
BKG69359,2024-12-18,2022-01-07,Suite,1,-1076,0,0
BKG61268,2022-01-02,2022-01-07,Suite,3,5,0,0
BKG67662,2024-12-12,2022-01-07,Standard,1,-1070,0,0
BKG69792,2024-12-17,2022-01-07,Standard,1,-1075,0,1
BKG63850,2022-01-04,2022-01-07,Suite,1,3,0,0
BKG62324,2022-01-02,2022-01-07,Deluxe,2,5,0,0
BKG68941,2024-12-12,2022-01-07,Suite,2,-1070,1,0
BKG67586,2024-12-28,2022-01-07,Standard,1,-1086,0,0
BKG67073,2022-01-06,2022-01-07,Suite,1,1,0,0
BKG68316,2024-12-16,2022-01-07,Standard,1,-1074,0,0
BKG61888,2024-12-18,2022-01-07,Standard,2,-1076,0,0
BKG64716,2022-01-06,2022-01-07,Deluxe,3,1,1,0
BKG63856,2022-01-03,2022-01-07,Deluxe,3,4,1,0
BKG67050,2022-01-06,2022-01-07,Suite,2,1,1,0
BKG69866,2024-12-26,2022-01-07,Standard,3,-1084,0,0
BKG67483,2024-12-12,2022-01-07,Suite,3,-1070,0,0
BKG63303,2024-12-15,2022-01-07,Deluxe,1,-1073,0,0
BKG62143,2024-12-30,2022-01-07,Suite,1,-1088,0,0
BKG66424,2024-12-29,2022-01-07,Deluxe,1,-1087,1,0
BKG65802,2024-12-18,2022-01-07,Suite,2,-1076,1,0
BKG66953,2022-01-01,2022-01-07,Suite,2,6,0,0
BKG64526,2022-01-02,2022-01-07,Suite,2,5,0,0
BKG62909,2024-12-12,2022-01-07,Suite,3,-1070,0,0
BKG65948,2024-12-29,2022-01-07,Deluxe,2,-1087,0,0
BKG69377,2024-12-26,2022-01-07,Standard,2,-1084,0,0
