date,category,sales_amount
2022-02-01,Dinner,1284.52
2022-02-01,Beverages,587.5
2022-02-02,Breakfast,763.34
2022-02-02,Lunch,972.52
2022-02-02,Dinner,1040.94
2022-02-02,Beverages,486.31
2022-02-03,Breakfast,581.18
2022-02-03,Lunch,993.45
2022-02-03,Dinner,936.68
2022-02-03,Beverages,613.03
2022-02-04,Breakfast,929.44
2022-02-04,Lunch,902.66
2022-02-04,Dinner,1173.58
2022-02-04,Beverages,872.79
2022-02-05,Breakfast,834.24
2022-02-05,Lunch,1167.5
2022-02-05,Dinner,889.66
2022-02-05,Beverages,515.04
2022-02-06,Breakfast,834.56
2022-02-06,Lunch,908.39
2022-02-06,Dinner,1009.6
2022-02-06,Beverages,614.34
2022-02-07,Breakfast,665.44
2022-02-07,Lunch,873.1
2022-02-07,Dinner,938.61
2022-02-07,Beverages,724.01
2022-02-08,Breakfast,1079.18
2022-02-08,Lunch,1172.55
2022-02-08,Dinner,1054.57
2022-02-08,Beverages,492.26
2022-02-09,Breakfast,1084.11
2022-02-09,Lunch,748.72
2022-02-09,Dinner,890.52
2022-02-09,Beverages,722.95
2022-02-10,Breakfast,948.05
2022-02-10,Lunch,885.4
2022-02-10,Dinner,972.05
2022-02-10,Beverages,481.11
2022-02-11,Breakfast,899.3
2022-02-11,Lunch,951.11
2022-02-11,Dinner,601.79
2022-02-11,Beverages,473.49
2022-02-12,Breakfast,1150.06
2022-02-12,Lunch,1345.01
2022-02-12,Dinner,1010.86
2022-02-12,Beverages,1076.63
2022-02-13,Breakfast,871.59
2022-02-13,Lunch,996.58
2022-02-13,Dinner,682.02
2022-02-13,Beverages,943.91
2022-02-14,Breakfast,786.9
2022-02-14,Lunch,910.55
2022-02-14,Dinner,1137.16
2022-02-14,Beverages,776.69
2022-02-15,Breakfast,1261.34
2022-02-15,Lunch,1219.05
2022-02-15,Dinner,796.4
2022-02-15,Beverages,620.07
2022-02-16,Breakfast,806.62
2022-02-16,Lunch,1300.3
2022-02-16,Dinner,1210.75
2022-02-16,Beverages,780.36
2022-02-17,Breakfast,1199.02
2022-02-17,Lunch,1331.18
2022-02-17,Dinner,822.14
2022-02-17,Beverages,855.59
2022-02-18,Breakfast,1115.47
2022-02-18,Lunch,1303.76
2022-02-18,Dinner,959.27
2022-02-18,Beverages,940.74
2022-02-19,Breakfast,1206.38
2022-02-19,Lunch,1322.42
2022-02-19,Dinner,1216.03
2022-02-19,Beverages,427.18
2022-02-20,Breakfast,1156.62
2022-02-20,Lunch,934.82
2022-02-20,Dinner,915.04
2022-02-20,Beverages,748.72
2022-02-21,Breakfast,1007.39
2022-02-21,Lunch,1031.38
2022-02-21,Dinner,1087.3
2022-02-21,Beverages,929.85
2022-02-22,Breakfast,897.28
2022-02-22,Lunch,992.4
2022-02-22,Dinner,995.2
2022-02-22,Beverages,763.6
2022-02-23,Breakfast,942.23
2022-02-23,Lunch,762.18
2022-02-23,Dinner,1498.27
2022-02-23,Beverages,523.29
2022-02-24,Breakfast,778.56
2022-02-24,Lunch,858.96
2022-02-24,Dinner,900.33
2022-02-24,Beverages,496.45
2022-02-25,Breakfast,941.65
2022-02-25,Lunch,1160.95
2022-02-25,Dinner,728.63
2022-02-25,Beverages,721.71
2022-02-26,Breakfast,630.41
2022-02-26,Lunch,1077.29
2022-02-26,Dinner,928.83
2022-02-26,Beverages,462.19
2022-02-27,Breakfast,935.98
2022-02-27,Lunch,1007.37
2022-02-27,Dinner,1206.69
2022-02-27,Beverages,433.49
2022-02-28,Breakfast,719.84
2022-02-28,Lunch,1212.78
2022-02-28,Dinner,1148.76
2022-02-28,Beverages,387.14
2022-03-01,Breakfast,1139.11
2022-03-01,Lunch,1060.68
2022-03-01,Dinner,762.15
2022-03-01,Beverages,897.41
2022-03-02,Breakfast,932.57
2022-03-02,Lunch,936.2
2022-03-02,Dinner,946.7
2022-03-02,Beverages,838.45
2022-03-03,Breakfast,1025.17
2022-03-03,Lunch,1174.18
2022-03-03,Dinner,1220.11
2022-03-03,Beverages,447.92
2022-03-04,Breakfast,724.5
2022-03-04,Lunch,1356.89
2022-03-04,Dinner,826.26
2022-03-04,Beverages,459.9
2022-03-05,Breakfast,1018.16
2022-03-05,Lunch,787.03
2022-03-05,Dinner,995.98
2022-03-05,Beverages,414.4
2022-03-06,Breakfast,1219.02
2022-03-06,Lunch,1049.72
2022-03-06,Dinner,841.99
2022-03-06,Beverages,871.14
2022-03-07,Breakfast,1394.47
2022-03-07,Lunch,937.87
2022-03-07,Dinner,661.93
2022-03-07,Beverages,1125.31
2022-03-08,Breakfast,920.22
2022-03-08,Lunch,1218.0
2022-03-08,Dinner,1224.7
2022-03-08,Beverages,612.03
2022-03-09,Breakfast,1230.78
2022-03-09,Lunch,1428.53
2022-03-09,Dinner,1012.36
2022-03-09,Beverages,371.22
2022-03-10,Breakfast,882.44
2022-03-10,Lunch,844.91
2022-03-10,Dinner,982.99
2022-03-10,Beverages,635.9
2022-03-11,Breakfast,963.68
2022-03-11,Lunch,1027.34
2022-03-11,Dinner,1061.48
2022-03-11,Beverages,592.79
2022-03-12,Breakfast,1258.33
2022-03-12,Lunch,1157.07
2022-03-12,Dinner,1200.19
2022-03-12,Beverages,729.52
2022-03-13,Breakfast,1124.49
2022-03-13,Lunch,1359.66
2022-03-13,Dinner,755.06
2022-03-13,Beverages,493.06
2022-03-14,Breakfast,892.41
2022-03-14,Lunch,1099.64
2022-03-14,Dinner,845.96
2022-03-14,Beverages,701.39
2022-03-15,Breakfast,1342.44
2022-03-15,Lunch,1251.7
2022-03-15,Dinner,1185.07
2022-03-15,Beverages,640.44
2022-03-16,Breakfast,1187.21
2022-03-16,Lunch,837.26
2022-03-16,Dinner,798.49
2022-03-16,Beverages,876.8
2022-03-17,Breakfast,1178.18
2022-03-17,Lunch,921.87
2022-03-17,Dinner,642.92
2022-03-17,Beverages,874.4
2022-03-18,Breakfast,815.26
2022-03-18,Lunch,865.42
2022-03-18,Dinner,781.12
2022-03-18,Beverages,735.82
2022-03-19,Breakfast,921.17
2022-03-19,Lunch,906.94
2022-03-19,Dinner,950.28
2022-03-19,Beverages,793.15
2022-03-20,Breakfast,947.97
2022-03-20,Lunch,1204.99
2022-03-20,Dinner,1298.1
2022-03-20,Beverages,662.65
2022-03-21,Breakfast,922.41
2022-03-21,Lunch,923.01
2022-03-21,Dinner,1062.07
2022-03-21,Beverages,663.7
2022-03-22,Breakfast,1280.69
2022-03-22,Lunch,951.55
2022-03-22,Dinner,1354.82
2022-03-22,Beverages,580.31
2022-03-23,Breakfast,871.39
2022-03-23,Lunch,749.29
2022-03-23,Dinner,803.1
2022-03-23,Beverages,880.61
2022-03-24,Breakfast,949.58
2022-03-24,Lunch,904.58
2022-03-24,Dinner,887.97
2022-03-24,Beverages,1120.58
2022-03-25,Breakfast,816.62
2022-03-25,Lunch,957.21
2022-03-25,Dinner,906.1
2022-03-25,Beverages,806.64
2022-03-26,Breakfast,1330.67
2022-03-26,Lunch,927.48
2022-03-26,Dinner,739.13
2022-03-26,Beverages,539.16
2022-03-27,Breakfast,859.57
2022-03-27,Lunch,1127.0
2022-03-27,Dinner,1071.42
2022-03-27,Beverages,596.47
2022-03-28,Breakfast,1149.11
2022-03-28,Lunch,972.5
2022-03-28,Dinner,1075.79
2022-03-28,Beverages,655.99
2022-03-29,Breakfast,700.09
2022-03-29,Lunch,953.09
2022-03-29,Dinner,1152.71
2022-03-29,Beverages,1010.37
2022-03-30,Breakfast,841.04
2022-03-30,Lunch,1035.27
2022-03-30,Dinner,1154.25
2022-03-30,Beverages,415.2
2022-03-31,Breakfast,1131.81
2022-03-31,Lunch,804.19
2022-03-31,Dinner,1016.23
2022-03-31,Beverages,878.02
2022-04-01,Breakfast,782.6
2022-04-01,Lunch,1130.29
2022-04-01,Dinner,1350.01
2022-04-01,Beverages,608.05
2022-04-02,Breakfast,1392.04
2022-04-02,Lunch,1230.78
2022-04-02,Dinner,925.88
2022-04-02,Beverages,611.24
2022-04-03,Breakfast,1072.63
2022-04-03,Lunch,896.72
2022-04-03,Dinner,1133.31
2022-04-03,Beverages,1185.35
2022-04-04,Breakfast,769.4
2022-04-04,Lunch,939.41
2022-04-04,Dinner,838.9
2022-04-04,Beverages,718.04
2022-04-05,Breakfast,1119.81
2022-04-05,Lunch,1246.33
2022-04-05,Dinner,954.59
2022-04-05,Beverages,869.77
2022-04-06,Breakfast,912.93
2022-04-06,Lunch,687.66
2022-04-06,Dinner,602.15
2022-04-06,Beverages,482.58
2022-04-07,Breakfast,966.87
2022-04-07,Lunch,1240.25
2022-04-07,Dinner,1451.61
2022-04-07,Beverages,559.35
2022-04-08,Breakfast,762.57
2022-04-08,Lunch,581.54
2022-04-08,Dinner,817.4
2022-04-08,Beverages,788.56
2022-04-09,Breakfast,1008.85
2022-04-09,Lunch,1004.92
2022-04-09,Dinner,937.39
2022-04-09,Beverages,575.33
2022-04-10,Breakfast,729.87
2022-04-10,Lunch,1170.5
2022-04-10,Dinner,1013.61
2022-04-10,Beverages,823.71
2022-04-11,Breakfast,1092.41
2022-04-11,Lunch,1141.7
2022-04-11,Dinner,1049.48
2022-04-11,Beverages,686.65
2022-04-12,Breakfast,1076.63
2022-04-12,Lunch,1081.15
2022-04-12,Dinner,806.65
2022-04-12,Beverages,696.77
2022-04-13,Breakfast,1331.51
2022-04-13,Lunch,1235.64
2022-04-13,Dinner,1071.14
2022-04-13,Beverages,511.9
2022-04-14,Breakfast,1045.59
2022-04-14,Lunch,1326.15
2022-04-14,Dinner,641.29
2022-04-14,Beverages,386.57
2022-04-15,Breakfast,1183.49
2022-04-15,Lunch,1239.85
2022-04-15,Dinner,838.65
2022-04-15,Beverages,809.65
2022-04-16,Breakfast,1059.42
2022-04-16,Lunch,989.29
2022-04-16,Dinner,1027.15
2022-04-16,Beverages,892.34
2022-04-17,Breakfast,1277.05
2022-04-17,Lunch,843.72
2022-04-17,Dinner,1083.53
2022-04-17,Beverages,702.5
2022-04-18,Breakfast,1044.0
2022-04-18,Lunch,1317.51
2022-04-18,Dinner,1045.12
2022-04-18,Beverages,674.17
2022-04-19,Breakfast,737.67
2022-04-19,Lunch,1034.17
2022-04-19,Dinner,888.65
2022-04-19,Beverages,962.13
2022-04-20,Breakfast,1135.28
2022-04-20,Lunch,1115.31
2022-04-20,Dinner,1076.56
2022-04-20,Beverages,844.32
2022-04-21,Breakfast,1168.27
2022-04-21,Lunch,902.72
2022-04-21,Dinner,918.43
2022-04-21,Beverages,680.6
2022-04-22,Breakfast,820.11
2022-04-22,Lunch,1177.78
2022-04-22,Dinner,935.79
2022-04-22,Beverages,574.28
2022-04-23,Breakfast,1084.16
2022-04-23,Lunch,796.95
2022-04-23,Dinner,794.33
2022-04-23,Beverages,747.13
2022-04-24,Breakfast,878.77
2022-04-24,Lunch,1257.76
2022-04-24,Dinner,1313.63
2022-04-24,Beverages,560.21
2022-04-25,Breakfast,1034.6
2022-04-25,Lunch,815.35
2022-04-25,Dinner,799.36
2022-04-25,Beverages,757.24
2022-04-26,Breakfast,890.86
2022-04-26,Lunch,959.11
2022-04-26,Dinner,1054.23
2022-04-26,Beverages,801.74
2022-04-27,Breakfast,1175.36
2022-04-27,Lunch,1231.24
2022-04-27,Dinner,1006.03
2022-04-27,Beverages,724.18
2022-04-28,Breakfast,962.3
2022-04-28,Lunch,1251.62
2022-04-28,Dinner,964.85
2022-04-28,Beverages,660.84
2022-04-29,Breakfast,840.37
2022-04-29,Lunch,1115.47
2022-04-29,Dinner,1051.08
2022-04-29,Beverages,997.88
2022-04-30,Breakfast,1061.85
2022-04-30,Lunch,1103.4
2022-04-30,Dinner,1365.27
2022-04-30,Beverages,763.81
2022-05-01,Breakfast,1042.59
2022-05-01,Lunch,1024.96
2022-05-01,Dinner,969.69
2022-05-01,Beverages,744.42
2022-05-02,Breakfast,1127.52
2022-05-02,Lunch,1122.2
2022-05-02,Dinner,1024.7
2022-05-02,Beverages,642.24
2022-05-03,Breakfast,981.62
2022-05-03,Lunch,827.23
2022-05-03,Dinner,968.23
2022-05-03,Beverages,966.46
2022-05-04,Breakfast,1054.37
2022-05-04,Lunch,1042.11
2022-05-04,Dinner,1317.09
2022-05-04,Beverages,515.61
2022-05-05,Breakfast,869.07
2022-05-05,Lunch,815.41
2022-05-05,Dinner,879.05
2022-05-05,Beverages,482.04
2022-05-06,Breakfast,659.33
2022-05-06,Lunch,1061.54
2022-05-06,Dinner,832.85
2022-05-06,Beverages,532.81
2022-05-07,Breakfast,1193.81
2022-05-07,Lunch,726.87
2022-05-07,Dinner,1032.98
2022-05-07,Beverages,603.51
2022-05-08,Breakfast,584.17
2022-05-08,Lunch,1144.6
2022-05-08,Dinner,771.19
2022-05-08,Beverages,334.37
2022-05-09,Breakfast,843.99
2022-05-09,Lunch,718.56
2022-05-09,Dinner,858.18
2022-05-09,Beverages,420.62
2022-05-10,Breakfast,909.46
2022-05-10,Lunch,1100.69
2022-05-10,Dinner,959.29
2022-05-10,Beverages,957.11
2022-05-11,Breakfast,1117.7
2022-05-11,Lunch,1368.3
2022-05-11,Dinner,530.89
2022-05-11,Beverages,448.88
2022-05-12,Breakfast,1066.74
2022-05-12,Lunch,1093.66
2022-05-12,Dinner,1004.38
2022-05-12,Beverages,1021.37
2022-05-13,Breakfast,1023.16
2022-05-13,Lunch,913.11
2022-05-13,Dinner,1117.47
2022-05-13,Beverages,726.44
2022-05-14,Breakfast,1004.22
2022-05-14,Lunch,1136.12
2022-05-14,Dinner,954.22
2022-05-14,Beverages,540.48
2022-05-15,Breakfast,1241.3
2022-05-15,Lunch,899.65
2022-05-15,Dinner,1088.96
2022-05-15,Beverages,704.23
2022-05-16,Breakfast,1404.39
2022-05-16,Lunch,1017.88
2022-05-16,Dinner,986.51
2022-05-16,Beverages,566.15
2022-05-17,Breakfast,1246.99
2022-05-17,Lunch,1337.85
2022-05-17,Dinner,971.41
2022-05-17,Beverages,726.39
2022-05-18,Breakfast,786.72
2022-05-18,Lunch,1115.03
2022-05-18,Dinner,1324.18
2022-05-18,Beverages,869.39
2022-05-19,Breakfast,1060.84
2022-05-19,Lunch,564.38
2022-05-19,Dinner,1327.93
2022-05-19,Beverages,848.35
2022-05-20,Breakfast,1099.71
2022-05-20,Lunch,1145.37
2022-05-20,Dinner,842.87
2022-05-20,Beverages,1105.05
2022-05-21,Breakfast,1025.85
2022-05-21,Lunch,1166.94
2022-05-21,Dinner,935.16
2022-05-21,Beverages,708.61
2022-05-22,Breakfast,967.73
2022-05-22,Lunch,874.65
2022-05-22,Dinner,1303.31
2022-05-22,Beverages,804.4
2022-05-23,Breakfast,860.8
2022-05-23,Lunch,1039.18
2022-05-23,Dinner,1252.39
2022-05-23,Beverages,782.03
2022-05-24,Breakfast,765.39
2022-05-24,Lunch,1063.96
2022-05-24,Dinner,1088.31
2022-05-24,Beverages,770.28
2022-05-25,Breakfast,1062.56
2022-05-25,Lunch,1151.43
2022-05-25,Dinner,986.63
2022-05-25,Beverages,485.54
2022-05-26,Breakfast,887.98
2022-05-26,Lunch,1363.14
2022-05-26,Dinner,986.85
2022-05-26,Beverages,837.04
2022-05-27,Breakfast,849.79
2022-05-27,Lunch,851.7
2022-05-27,Dinner,683.73
2022-05-27,Beverages,831.09
2022-05-28,Breakfast,1306.24
2022-05-28,Lunch,1119.94
2022-05-28,Dinner,1072.37
2022-05-28,Beverages,751.13
2022-05-29,Breakfast,913.48
2022-05-29,Lunch,1008.77
2022-05-29,Dinner,1018.99
2022-05-29,Beverages,892.7
2022-05-30,Breakfast,1484.34
2022-05-30,Lunch,819.96
2022-05-30,Dinner,920.79
2022-05-30,Beverages,374.46
2022-05-31,Breakfast,997.5
2022-05-31,Lunch,890.86
2022-05-31,Dinner,838.94
2022-05-31,Beverages,915.17
2022-06-01,Breakfast,965.89
2022-06-01,Lunch,849.39
2022-06-01,Dinner,865.35
2022-06-01,Beverages,564.15
2022-06-02,Breakfast,1364.62
2022-06-02,Lunch,779.15
2022-06-02,Dinner,947.34
2022-06-02,Beverages,965.28
2022-06-03,Breakfast,1244.45
2022-06-03,Lunch,954.35
2022-06-03,Dinner,954.64
2022-06-03,Beverages,835.6
2022-06-04,Breakfast,941.91
2022-06-04,Lunch,1363.18
2022-06-04,Dinner,1032.45
2022-06-04,Beverages,858.97
2022-06-05,Breakfast,815.49
2022-06-05,Lunch,1265.05
2022-06-05,Dinner,1431.18
2022-06-05,Beverages,497.34
2022-06-06,Breakfast,1425.15
2022-06-06,Lunch,1044.05
2022-06-06,Dinner,1119.54
2022-06-06,Beverages,563.12
2022-06-07,Breakfast,1220.43
2022-06-07,Lunch,1189.97
2022-06-07,Dinner,762.93
2022-06-07,Beverages,1025.47
2022-06-08,Breakfast,469.38
2022-06-08,Lunch,899.02
2022-06-08,Dinner,700.78
2022-06-08,Beverages,824.58
2022-06-09,Breakfast,757.76
2022-06-09,Lunch,909.16
2022-06-09,Dinner,840.62
2022-06-09,Beverages,712.84
2022-06-10,Breakfast,899.69
2022-06-10,Lunch,920.66
2022-06-10,Dinner,1211.9
2022-06-10,Beverages,522.93
2022-06-11,Breakfast,1188.34
2022-06-11,Lunch,1040.3
2022-06-11,Dinner,875.05
2022-06-11,Beverages,635.29
2022-06-12,Breakfast,1112.69
2022-06-12,Lunch,826.67
2022-06-12,Dinner,811.5
2022-06-12,Beverages,605.18
2022-06-13,Breakfast,913.8
2022-06-13,Lunch,1074.75
2022-06-13,Dinner,1105.36
2022-06-13,Beverages,427.47
2022-06-14,Breakfast,931.67
2022-06-14,Lunch,1129.73
2022-06-14,Dinner,831.57
2022-06-14,Beverages,715.42
2022-06-15,Breakfast,1429.46
2022-06-15,Lunch,978.52
2022-06-15,Dinner,848.18
2022-06-15,Beverages,989.32
2022-06-16,Breakfast,1137.58
2022-06-16,Lunch,725.53
2022-06-16,Dinner,979.15
2022-06-16,Beverages,193.29
2022-06-17,Breakfast,1372.01
2022-06-17,Lunch,1181.65
2022-06-17,Dinner,1151.15
2022-06-17,Beverages,619.64
2022-06-18,Breakfast,839.31
2022-06-18,Lunch,828.79
2022-06-18,Dinner,1228.19
2022-06-18,Beverages,473.91
2022-06-19,Breakfast,1027.19
2022-06-19,Lunch,938.43
2022-06-19,Dinner,1185.13
2022-06-19,Beverages,492.58
2022-06-20,Breakfast,1333.55
2022-06-20,Lunch,664.81
2022-06-20,Dinner,912.14
2022-06-20,Beverages,736.27
2022-06-21,Breakfast,695.11
2022-06-21,Lunch,1204.91
2022-06-21,Dinner,840.81
2022-06-21,Beverages,630.98
2022-06-22,Breakfast,1071.91
2022-06-22,Lunch,951.67
2022-06-22,Dinner,1158.85
2022-06-22,Beverages,683.77
2022-06-23,Breakfast,946.78
2022-06-23,Lunch,1251.43
2022-06-23,Dinner,1015.81
2022-06-23,Beverages,581.65
2022-06-24,Breakfast,1106.42
2022-06-24,Lunch,1219.98
2022-06-24,Dinner,1085.66
2022-06-24,Beverages,483.91
2022-06-25,Breakfast,1034.32
2022-06-25,Lunch,984.62
2022-06-25,Dinner,930.91
2022-06-25,Beverages,615.84
2022-06-26,Breakfast,865.18
2022-06-26,Lunch,907.34
2022-06-26,Dinner,1090.66
2022-06-26,Beverages,888.48
2022-06-27,Breakfast,1079.07
2022-06-27,Lunch,842.46
2022-06-27,Dinner,1007.82
2022-06-27,Beverages,839.9
2022-06-28,Breakfast,736.47
2022-06-28,Lunch,1070.95
2022-06-28,Dinner,1350.53
2022-06-28,Beverages,448.59
2022-06-29,Breakfast,1108.74
2022-06-29,Lunch,1008.79
2022-06-29,Dinner,1058.01
2022-06-29,Beverages,748.68
2022-06-30,Breakfast,1336.5
2022-06-30,Lunch,1250.71
2022-06-30,Dinner,831.87
2022-06-30,Beverages,642.81
2022-07-01,Breakfast,1233.28
2022-07-01,Lunch,991.32
2022-07-01,Dinner,1283.62
2022-07-01,Beverages,839.56
2022-07-02,Breakfast,832.42
2022-07-02,Lunch,873.95
2022-07-02,Dinner,790.98
2022-07-02,Beverages,750.42
2022-07-03,Breakfast,1079.33
2022-07-03,Lunch,1081.51
2022-07-03,Dinner,916.35
2022-07-03,Beverages,948.18
2022-07-04,Breakfast,798.7
2022-07-04,Lunch,1000.46
2022-07-04,Dinner,1200.59
2022-07-04,Beverages,388.76
2022-07-05,Breakfast,1051.55
2022-07-05,Lunch,1042.95
2022-07-05,Dinner,913.88
2022-07-05,Beverages,860.71
2022-07-06,Breakfast,1324.24
2022-07-06,Lunch,528.27
2022-07-06,Dinner,1156.91
2022-07-06,Beverages,646.53
2022-07-07,Breakfast,760.49
2022-07-07,Lunch,1263.03
2022-07-07,Dinner,986.33
2022-07-07,Beverages,574.31
2022-07-08,Breakfast,1105.54
2022-07-08,Lunch,1121.73
2022-07-08,Dinner,1032.13
2022-07-08,Beverages,574.62
2022-07-09,Breakfast,976.94
2022-07-09,Lunch,996.65
2022-07-09,Dinner,938.53
2022-07-09,Beverages,610.86
2022-07-10,Breakfast,1130.43
2022-07-10,Lunch,766.05
2022-07-10,Dinner,1073.5
2022-07-10,Beverages,699.71
2022-07-11,Breakfast,1102.52
2022-07-11,Lunch,1145.5
2022-07-11,Dinner,750.22
2022-07-11,Beverages,584.52
2022-07-12,Breakfast,891.98
2022-07-12,Lunch,1062.18
2022-07-12,Dinner,868.87
2022-07-12,Beverages,802.4
2022-07-13,Breakfast,1054.02
2022-07-13,Lunch,960.54
2022-07-13,Dinner,678.57
2022-07-13,Beverages,739.81
2022-07-14,Breakfast,1429.59
2022-07-14,Lunch,721.26
2022-07-14,Dinner,1038.36
2022-07-14,Beverages,904.08
2022-07-15,Breakfast,1090.36
2022-07-15,Lunch,1061.41
2022-07-15,Dinner,1130.92
2022-07-15,Beverages,540.55
2022-07-16,Breakfast,1388.86
2022-07-16,Lunch,976.99
2022-07-16,Dinner,957.19
2022-07-16,Beverages,814.09
2022-07-17,Breakfast,930.41
2022-07-17,Lunch,810.2
2022-07-17,Dinner,876.76
2022-07-17,Beverages,594.29
2022-07-18,Breakfast,993.97
2022-07-18,Lunch,969.3
2022-07-18,Dinner,648.69
2022-07-18,Beverages,700.46
2022-07-19,Breakfast,745.59
2022-07-19,Lunch,670.44
2022-07-19,Dinner,1012.39
2022-07-19,Beverages,746.31
2022-07-20,Breakfast,936.78
2022-07-20,Lunch,1082.3
2022-07-20,Dinner,1249.6
2022-07-20,Beverages,751.65
2022-07-21,Breakfast,733.09
2022-07-21,Lunch,1123.38
2022-07-21,Dinner,944.92
2022-07-21,Beverages,320.92
2022-07-22,Breakfast,864.17
2022-07-22,Lunch,654.9
2022-07-22,Dinner,828.36
2022-07-22,Beverages,678.21
2022-07-23,Breakfast,971.08
2022-07-23,Lunch,1156.68
2022-07-23,Dinner,1201.48
2022-07-23,Beverages,574.98
2022-07-24,Breakfast,1137.53
2022-07-24,Lunch,888.83
2022-07-24,Dinner,814.52
2022-07-24,Beverages,539.05
2022-07-25,Breakfast,1480.71
2022-07-25,Lunch,1302.77
2022-07-25,Dinner,1145.66
2022-07-25,Beverages,572.03
2022-07-26,Breakfast,919.78
2022-07-26,Lunch,1068.84
2022-07-26,Dinner,767.2
2022-07-26,Beverages,719.37
2022-07-27,Breakfast,1193.96
2022-07-27,Lunch,1002.15
2022-07-27,Dinner,803.07
2022-07-27,Beverages,601.06
2022-07-28,Breakfast,910.25
2022-07-28,Lunch,828.44
2022-07-28,Dinner,945.82
2022-07-28,Beverages,599.39
2022-07-29,Breakfast,1241.79
2022-07-29,Lunch,1107.2
2022-07-29,Dinner,751.64
